league,season,Avg_Points,Avg_Points_Gap_Top_to_Bottom,Points_Gap_Between_Top_and_Bottom_4_Teams
Premier League,2018,53.45,82.0,56.5
Serie A,2016,53.0,76.0,57.25
Premier League,2020,52.85,63.0,45.0
Serie A,2017,52.85,74.0,54.0
Premier League,2016,52.8,69.0,51.75
Serie A,2019,52.75,63.0,50.5
La Liga,2017,52.7,73.0,51.75
Ligue 1,2014,52.6,54.0,40.0
La Liga,2016,52.55,73.0,56.25
La Liga,2014,52.45,74.0,54.75
La Liga,2015,52.4,59.0,47.0
Premier League,2019,52.4,78.0,47.0
Premier League,2014,52.35,57.0,43.75
Ligue 1,2020,52.25,62.0,45.5
Serie A,2015,52.25,63.0,46.0
Ligue 1,2017,52.2,67.0,48.5
Ligue 1,2016,52.15,61.0,45.5
Serie A,2020,52.15,71.0,53.25
Premier League,2017,52.05,69.0,50.0
La Liga,2019,51.75,62.0,44.5
Premier League,2015,51.65,64.0,40.25
Ligue 1,2015,51.6,78.0,38.75
Serie A,2018,51.6,70.0,46.5
La Liga,2020,51.55,56.0,48.75
La Liga,2018,51.5,55.0,37.25
Ligue 1,2018,51.5,64.0,43.5
Serie A,2014,51.0,63.0,42.25
Bundesliga,2019,47.22,62.0,41.25
Bundesliga,2015,47.06,63.0,37.5
Bundesliga,2018,46.94,59.0,44.5
Bundesliga,2016,46.89,57.0,36.0
Bundesliga,2020,46.5,62.0,38.25
Bundesliga,2014,46.44,48.0,35.0
Bundesliga,2017,46.39,62.0,33.75
Ligue 1,2019,38.35,55.0,32.5
